sentence_id,translation_tmg,relevant_sentences,translation_en,domain,sentence_length,sentence_type,Tense,polarity
D1A_S0_B2_2860,सानाम ब्लोनखाङ किन्बा ह्रेङ्बा दुइदोःना गुमनाम मुबा ब्लोन भुसालसे चु दुइरि ह्राङसे दोङरापकि गे लाबारि स्हाङ्बा ताबा दाबी लाबा मुला।,कृषि मन्त्रालय सम्हालेको लामो अवधिसम्म गुमनाम रहेका मन्त्री भुसालले यो अवधिमा आफूले ऐतिहासिक काम गर्न सफल भएको दाबी गरेका छन्।,"Minister Bhusal, who remained anonymous for a long time while holding the Ministry of Agriculture, has claimed that he has succeeded in accomplishing historic work during this period.",D1A,20,long,Non-Past,Affirmative
COM_D3E_S1_S2_949,चु लोप्खाङ जोङ्लान खेःबा लोप्खाङ गुङ्ला गिक्खे हिन्ना।,यो विद्यालय जिल्लाकै पुरानो विद्यालय मध्यको एक हो।,This school is one of the oldest schools in the district.,D3E,8,medium,Non-Past,Affirmative
COM_P2_D5G_S3_167,ङानि ए दर्शक श्रोताकादेथोरि कृतज्ञ मुला।,हामी हजुर दर्शक श्रोताहरू प्रति कृतज्ञ छौँ।,We are grateful to our viewers.,D5G,7,short,Non-Past,Affirmative
COM_P2_D5G_S3_1347,खसु ह्याल्बान निबान मुबा।,कुहिरो खुल्दै गइरहेको थियो।,The fog was clearing.,D5G,4,short,Past,Affirmative
COM_P2_D3E_S2_6652,"लोप्खेनला साङ्ज्या आन्सार दिमग्रेन काप्पा, लोप्बोन डिक्नालाबा गे ताचिबा मल्लसे पाङ्जि।","विद्यार्थीको सङ्ख्याअनुसार भवन थप्ने, शिक्षक मिलाउने काम भइरहेको मल्लले बताए।",Malla said that work is underway to add buildings and arrange teachers according to the number of students.,D3E,10,medium,Past,Affirmative
COM_D5G_S3_3594,दारेम ह्रेङ्बा झोलुङ्गे पुल स्हेङ्बा नोन ताबा ताङरि मुबा स्थानीय जनप्रतिनिधिकादेसे पाङ्जि।,अब लामो झोलुङ्गे पुलको निर्माण पनि हुने क्रममा भएको स्थानीय जनप्रतिनिधिहरूले सुनाए।,Local people's representatives said that the construction of a long suspension bridge is also underway.,D5G,12,medium,Past,Affirmative
D1A_S0_B1_1917,ओसेम सेर्बाक्युइ राङ्बा प्राकृतिक प्रकोपला ङ्यान्दि आम्बा सास्हिङरि नोन जोखिम कायम नोन मुबा  दाहालला पाङ्बा मुला।,तथापि असिनापानीजस्ता प्राकृतिक प्रकोपका कारण आँप खेतीमा पनि जोखिम कायम नै रहेको दाहालको भनाइ छ।,"However, Dahal says that mango farming remains at risk due to natural disasters like hailstorms.",D1A,15,medium,Non-Past,Affirmative
D4S_S2_4777,गोने ला थेन लानिरे ल्हा शिवला ला थेन वारिला स्रुगरि किन्मुला।,साउन महिना र सोमबार भगवान् शिवको महिना र बारका रूपमा लिइन्छ।,The month of Shrawan and Monday are considered the month and day of Lord Shiva.,D4C,11,medium,Non-Past,Affirmative
COM_P2_D2H_S4_5162,ङ्योलोकला ङ्यान्दि अस्पतालसे रेदाङ्से बुम २ तोङ्जा ५० टाङ्गा ख्युल ताबान खाबा थेसे पाङ्जि।,आन्दोलनका कारण अस्पतालले दैनिक २ लाख ५० हजार रूपैयाँ घाटा व्योहोर्दै आएको उनले बताए।,He said that the hospital has been suffering a daily loss of Rs. 2 lakh 50 thousand due to the protests.,D2H,14,medium,Past,Affirmative
D4S_S1_6584,न्होरकि दिङरि काम्राला टाङ्गा स्योङसे ब्योङ्सि तामाकोशी गान्दिरि दोङ्सिपिन्बा मुला।,आर्थिक वर्षमा खर्चको रकम खोलाले बगाएर तामाकोशी नदीमा मिसाएको छ।,The amount spent in the fiscal year has been washed away by the river and mixed with the Tamakoshi River.,D4C,10,medium,Non-Past,Affirmative
COM_D5G_S3_312,लोप्खाङ बिजाबुमोला क्योङ फेल्गेबाला ग्ला हिन्ना।,विद्यालय बालबालिकाको समग्र विकासको थलो हो।,School is a place for the holistic development of children.,D5G,6,short,Non-Past,Affirmative
COM_D2H_S5_3279,ठिमकि दिङ २० दिङ तासाइ नोन जामेकोलाकादे ल्हुइकि स्रुगरि बिसाम योनान परिपक्व ताबारि तिःबा मुला।,कानुनी उमेर २० वर्ष भए पनि छोरीहरू शारीरिक रूपमा भने छिट्टै परिपक्व हुन थालेका छन्।,"Even though the legal age is 20, girls are starting to mature physically early.",D2H,15,medium,Non-Past,Affirmative
D4S_S1_6193,थेसे लिउरि थेसे याङ्सेदा ठिमकि तेन्बा थेन वैधताला नुररि नोन सोच्तितोःबा पाङ्जि।,उनले भविष्यमा त्यसले पाउने कानूनी मान्यता र वैधताको विषयमा पनि सोच्नुपर्ने बताइन्।,She said that we should also think about the legal recognition and legitimacy it will receive in the future.,D4C,12,medium,Past,Affirmative
COM_P2_D2H_S3_7682,अस्पतालला रेडियोलोजी विभागला ग्रेन्पो डा. केशव पौडेलला आन्सार जर्मनीरि स्होबा सिमेन्स कम्पनीला फिच्चा मेसिन अस्पताल बाबा हिन्ना।,अस्पतालका रेडियोलोजी विभागका प्रमुख डा. केशव पौडेलका अनुसार जर्मनीमा बनेको सिमेन्स कम्पनीको उक्त मशिन अस्पताल ल्याइएको हो।,"According to Dr. Keshav Poudel, head of the hospital's radiology department, the machine, made by Siemens in Germany, was brought to the hospital.",D2H,17,long,Non-Past,Affirmative
COM_P2_D3E_S3_4742,मिडियाबाजीरि ग्यागारह्युलकि प्रचारग्युङदा जाम्बुलिङला स्यान मिडियासे आखाम बिबा आहान मुला।,मिडियाबाजीमा भारतीय प्रचारमाध्यमलाई संसारका अरू मिडियाले सक्दैनन् भन्ने आहान छ।,There is a media frenzy that Indian media cannot compete with other media outlets in the world.,D3E,10,medium,Non-Past,Affirmative
P3_D1A_S0_B3_1482,लेटाङला कफी सास्हिङसे सानामरि आत्मनिर्भरता थेन न्होरकि समृद्धिला म्राप ठोङ्बा लेटाङ नगरपालिका ग्रेन्पो भुपेन्द्रकुमार लावतीसे पाङ्जि।,लेटाङको कफी खेतीले कृषिमा आत्मनिर्भरता र आर्थिक समृद्धिको ढोका खोल्ने लेटाङ नगरपालिका प्रमुख भुपेन्द्रकुमार लावती बताउँछन्।,Letang Municipality Mayor Bhupendra Kumar Lawati says that coffee farming in Letang will open the door to self-reliance in agriculture and economic prosperity.,D1A,16,long,Non-Past,Affirmative
COM_P2_D4C_S1_B1_958,केबलकार स्याङ्बालिच्छा लाथानरि भक्तजनला साङ्ज्या ल्हेःबा मुला।,केबलकार सञ्चालन भएपछि मन्दिरमा भक्तजनको सङ्ख्या बढेको छ।,The number of devotees at the temple has increased since the cable car was launched.,D4C,8,medium,Non-Past,Affirmative
